Id,date,TotalSleepRecords,TotalMinutesAsleep,SleepHours,TotalTimeInBed,InBedHours
8378563200,5/9/2016,1,359,6,399,6.7
1503960366,5/8/2016,1,594,9.9,611,10.2
1644430081,5/8/2016,1,137,2.3,154,2.6
2026352035,5/8/2016,1,541,9,568,9.5
3977333714,5/8/2016,2,259,4.3,456,7.6
4020332650,5/8/2016,1,364,6.1,402,6.7
4319703577,5/8/2016,1,602,10,638,10.6
4388161847,5/8/2016,2,529,8.8,541,9
4445114986,5/8/2016,1,361,6,391,6.5
4558609924,5/8/2016,1,123,2.1,134,2.2
5553957443,5/8/2016,1,568,9.5,608,10.1
6117666160,5/8/2016,1,555,9.3,603,10.1
6962181067,5/8/2016,1,541,9,569,9.5
7086361926,5/8/2016,1,481,8,510,8.5
8378563200,5/8/2016,1,545,9.1,606,10.1
1503960366,5/7/2016,1,331,5.5,349,5.8
2026352035,5/7/2016,1,511,8.5,521,8.7
3977333714,5/7/2016,1,237,4,443,7.4
4319703577,5/7/2016,1,507,8.5,530,8.8
4388161847,5/7/2016,1,472,7.9,496,8.3
4445114986,5/7/2016,2,401,6.7,436,7.3
4702921684,5/7/2016,1,520,8.7,543,9.1
4702921684,5/7/2016,1,520,8.7,543,9.1
5553957443,5/7/2016,1,442,7.4,470,7.8
6117666160,5/7/2016,2,498,8.3,507,8.5
6962181067,5/7/2016,1,298,5,334,5.6
7086361926,5/7/2016,1,530,8.8,548,9.1
8053475328,5/7/2016,1,74,1.2,75,1.3
8378563200,5/7/2016,2,459,7.7,513,8.6
1503960366,5/6/2016,1,334,5.6,367,6.1
2026352035,5/6/2016,1,524,8.7,548,9.1
3977333714,5/6/2016,1,323,5.4,512,8.5
4020332650,5/6/2016,1,385,6.4,408,6.8
4319703577,5/6/2016,1,450,7.5,491,8.2
4445114986,5/6/2016,2,374,6.2,402,6.7
4702921684,5/6/2016,1,404,6.7,449,7.5
5553957443,5/6/2016,1,400,6.7,434,7.2
6117666160,5/6/2016,2,658,11,698,11.6
6962181067,5/6/2016,1,443,7.4,462,7.7
7086361926,5/6/2016,1,322,5.4,333,5.6
8378563200,5/6/2016,1,323,5.4,355,5.9
1503960366,5/5/2016,1,247,4.1,264,4.4
2026352035,5/5/2016,1,468,7.8,485,8.1
3977333714,5/5/2016,1,318,5.3,480,8
4020332650,5/5/2016,1,226,3.8,248,4.1
4388161847,5/5/2016,1,471,7.9,495,8.3
4388161847,5/5/2016,1,471,7.9,495,8.3
4445114986,5/5/2016,2,462,7.7,513,8.6
4702921684,5/5/2016,1,414,6.9,428,7.1
5553957443,5/5/2016,1,419,7,464,7.7
5577150313,5/5/2016,1,74,1.2,78,1.3
6117666160,5/5/2016,1,392,6.5,415,6.9
6962181067,5/5/2016,1,467,7.8,491,8.2
8378563200,5/5/2016,1,381,6.4,417,7
2026352035,5/4/2016,1,538,9,560,9.3
3977333714,5/4/2016,1,213,3.6,336,5.6
4020332650,5/4/2016,1,478,8,536,8.9
4388161847,5/4/2016,1,390,6.5,414,6.9
4445114986,5/4/2016,2,337,5.6,363,6.1
4702921684,5/4/2016,1,412,6.9,434,7.2
5553957443,5/4/2016,1,447,7.5,470,7.8
5577150313,5/4/2016,1,603,10.1,634,10.6
6962181067,5/4/2016,1,442,7.4,455,7.6
7086361926,5/4/2016,1,420,7,436,7.3
8378563200,5/4/2016,1,441,7.4,477,8
8792009665,5/4/2016,1,439,7.3,463,7.7
1503960366,5/3/2016,1,273,4.6,296,4.9
3977333714,5/3/2016,1,292,4.9,500,8.3
4020332650,5/3/2016,1,322,5.4,332,5.5
4319703577,5/3/2016,1,474,7.9,512,8.5
4445114986,5/3/2016,2,417,7,450,7.5
4702921684,5/3/2016,1,327,5.5,373,6.2
5553957443,5/3/2016,1,380,6.3,429,7.2
5577150313,5/3/2016,1,508,8.5,543,9.1
6962181067,5/3/2016,1,394,6.6,418,7
7086361926,5/3/2016,1,456,7.6,461,7.7
8378563200,5/3/2016,1,405,6.8,429,7.2
8792009665,5/3/2016,1,516,8.6,545,9.1
1503960366,5/2/2016,1,277,4.6,309,5.2
1644430081,5/2/2016,1,796,13.3,961,16
2026352035,5/2/2016,1,511,8.5,543,9.1
3977333714,5/2/2016,1,230,3.8,384,6.4
4319703577,5/2/2016,1,478,8,506,8.4
4388161847,5/2/2016,2,368,6.1,376,6.3
4445114986,5/2/2016,1,502,8.4,542,9
5553957443,5/2/2016,1,409,6.8,471,7.9
5577150313,5/2/2016,2,525,8.8,553,9.2
6962181067,5/2/2016,1,466,7.8,482,8
7086361926,5/2/2016,1,440,7.3,459,7.7
8378563200,5/2/2016,1,351,5.9,385,6.4
8792009665,5/2/2016,1,415,6.9,423,7.1
1503960366,5/1/2016,1,369,6.2,396,6.6
1844505072,5/1/2016,1,590,9.8,961,16
2026352035,5/1/2016,1,527,8.8,546,9.1
3977333714,5/1/2016,1,383,6.4,626,10.4
4319703577,5/1/2016,1,484,8.1,500,8.3
4388161847,5/1/2016,1,547,9.1,597,10
4445114986,5/1/2016,2,439,7.3,459,7.7
4558609924,5/1/2016,1,115,1.9,129,2.2
5553957443,5/1/2016,2,622,10.4,686,11.4
5577150313,5/1/2016,1,379,6.3,398,6.6
6117666160,5/1/2016,1,507,8.5,575,9.6
6962181067,5/1/2016,1,411,6.9,426,7.1
7007744171,5/1/2016,1,58,1,61,1
7086361926,5/1/2016,1,388,6.5,407,6.8
8378563200,5/1/2016,1,475,7.9,539,9
8792009665,5/1/2016,1,503,8.4,527,8.8
1503960366,4/30/2016,1,404,6.7,425,7.1
1644430081,4/30/2016,1,124,2.1,142,2.4
1844505072,4/30/2016,1,722,12,961,16
2026352035,4/30/2016,1,573,9.6,607,10.1
3977333714,4/30/2016,1,237,4,382,6.4
4319703577,4/30/2016,1,490,8.2,516,8.6
4388161847,4/30/2016,2,409,6.8,430,7.2
4445114986,4/30/2016,1,322,5.4,353,5.9
4702921684,4/30/2016,1,479,8,501,8.4
5553957443,4/30/2016,2,775,12.9,843,14.1
5577150313,4/30/2016,1,412,6.9,433,7.2
6962181067,4/30/2016,1,422,7,424,7.1
7086361926,4/30/2016,1,485,8.1,489,8.2
8378563200,4/30/2016,1,468,7.8,555,9.3
8792009665,4/30/2016,1,343,5.7,360,6
1503960366,4/29/2016,1,341,5.7,354,5.9
1644430081,4/29/2016,1,119,2,127,2.1
2026352035,4/29/2016,1,490,8.2,510,8.5
2347167796,4/29/2016,1,411,6.9,473,7.9
3977333714,4/29/2016,1,333,5.6,478,8
4319703577,4/29/2016,1,523,8.7,546,9.1
4445114986,4/29/2016,1,106,1.8,108,1.8
4558609924,4/29/2016,1,171,2.9,179,3
4702921684,4/29/2016,1,433,7.2,447,7.5
5553957443,4/29/2016,1,450,7.5,495,8.3
5577150313,4/29/2016,1,459,7.7,485,8.1
6117666160,4/29/2016,1,600,10,636,10.6
6962181067,4/29/2016,1,433,7.2,447,7.5
8378563200,4/29/2016,1,527,8.8,562,9.4
8792009665,4/29/2016,1,398,6.6,406,6.8
1503960366,4/28/2016,1,366,6.1,393,6.6
1927972279,4/28/2016,1,166,2.8,178,3
2026352035,4/28/2016,1,513,8.6,545,9.1
2347167796,4/28/2016,1,408,6.8,450,7.5
3977333714,4/28/2016,1,261,4.4,423,7.1
4319703577,4/28/2016,1,497,8.3,522,8.7
4388161847,4/28/2016,1,428,7.1,458,7.6
4445114986,4/28/2016,1,419,7,442,7.4
4702921684,4/28/2016,1,442,7.4,461,7.7
5553957443,4/28/2016,1,421,7,457,7.6
5577150313,4/28/2016,1,361,6,372,6.2
6117666160,4/28/2016,1,393,6.6,416,6.9
6962181067,4/28/2016,1,440,7.3,453,7.6
7086361926,4/28/2016,1,354,5.9,367,6.1
8378563200,4/28/2016,1,506,8.4,556,9.3
8792009665,4/28/2016,1,402,6.7,416,6.9
2026352035,4/27/2016,1,508,8.5,545,9.1
2347167796,4/27/2016,1,448,7.5,499,8.3
3977333714,4/27/2016,1,349,5.8,540,9
4319703577,4/27/2016,1,286,4.8,307,5.1
4388161847,4/27/2016,1,439,7.3,500,8.3
4445114986,4/27/2016,1,332,5.5,374,6.2
4702921684,4/27/2016,1,432,7.2,449,7.5
5553957443,4/27/2016,1,347,5.8,391,6.5
5577150313,4/27/2016,1,424,7.1,452,7.5
6117666160,4/27/2016,1,542,9,557,9.3
6962181067,4/27/2016,1,455,7.6,467,7.8
7086361926,4/27/2016,1,469,7.8,479,8
8378563200,4/27/2016,1,531,8.9,600,10
8792009665,4/27/2016,1,423,7.1,428,7.1
1503960366,4/26/2016,1,245,4.1,274,4.6
1927972279,4/26/2016,1,296,4.9,315,5.3
2347167796,4/26/2016,1,436,7.3,490,8.2
3977333714,4/26/2016,1,250,4.2,371,6.2
4319703577,4/26/2016,1,505,8.4,516,8.6
4388161847,4/26/2016,1,319,5.3,346,5.8
4445114986,4/26/2016,2,353,5.9,391,6.5
4558609924,4/26/2016,1,103,1.7,121,2
4702921684,4/26/2016,1,421,7,429,7.2
5553957443,4/26/2016,1,412,6.9,453,7.6
5577150313,4/26/2016,1,354,5.9,377,6.3
6962181067,4/26/2016,1,441,7.4,446,7.4
7086361926,4/26/2016,1,485,8.1,500,8.3
8378563200,4/26/2016,1,550,9.2,584,9.7
1503960366,4/25/2016,1,277,4.6,323,5.4
2026352035,4/25/2016,1,506,8.4,531,8.9
2347167796,4/25/2016,1,433,7.2,471,7.9
3977333714,4/25/2016,1,262,4.4,467,7.8
4319703577,4/25/2016,1,488,8.1,506,8.4
4445114986,4/25/2016,1,328,5.5,345,5.8
4702921684,4/25/2016,1,370,6.2,380,6.3
5553957443,4/25/2016,1,433,7.2,468,7.8
5577150313,4/25/2016,1,421,7,461,7.7
6962181067,4/25/2016,1,400,6.7,415,6.9
7086361926,4/25/2016,1,446,7.4,447,7.5
8378563200,4/25/2016,1,388,6.5,402,6.7
8378563200,4/25/2016,1,388,6.5,402,6.7
1503960366,4/24/2016,1,430,7.2,449,7.5
2026352035,4/24/2016,1,555,9.3,591,9.9
2347167796,4/24/2016,1,442,7.4,459,7.7
3977333714,4/24/2016,1,310,5.2,526,8.8
4319703577,4/24/2016,1,467,7.8,501,8.4
4388161847,4/24/2016,3,552,9.2,595,9.9
4702921684,4/24/2016,1,480,8,506,8.4
5553957443,4/24/2016,2,553,9.2,640,10.7
5577150313,4/24/2016,1,543,9.1,615,10.3
6117666160,4/24/2016,1,353,5.9,367,6.1
6962181067,4/24/2016,1,511,8.5,514,8.6
7086361926,4/24/2016,1,681,11.4,704,11.7
8378563200,4/24/2016,1,458,7.6,492,8.2
1503960366,4/23/2016,1,361,6,384,6.4
2026352035,4/23/2016,1,522,8.7,554,9.2
2320127002,4/23/2016,1,61,1,69,1.2
2347167796,4/23/2016,1,374,6.2,386,6.4
3977333714,4/23/2016,1,235,3.9,372,6.2
4319703577,4/23/2016,1,692,11.5,722,12
4388161847,4/23/2016,1,478,8,501,8.4
4702921684,4/23/2016,1,465,7.8,475,7.9
5553957443,4/23/2016,2,631,10.5,725,12.1
5577150313,4/23/2016,1,384,6.4,402,6.7
6117666160,4/23/2016,1,492,8.2,539,9
6962181067,4/23/2016,1,528,8.8,546,9.1
8053475328,4/23/2016,1,331,5.5,337,5.6
8378563200,4/23/2016,1,565,9.4,591,9.9
8792009665,4/23/2016,1,339,5.7,360,6
2026352035,4/22/2016,1,520,8.7,545,9.1
2347167796,4/22/2016,1,405,6.8,461,7.7
3977333714,4/22/2016,1,355,5.9,476,7.9
4319703577,4/22/2016,1,533,8.9,550,9.2
4388161847,4/22/2016,1,82,1.4,85,1.4
4445114986,4/22/2016,1,388,6.5,417,7
5553957443,4/22/2016,1,322,5.4,353,5.9
5577150313,4/22/2016,1,338,5.6,366,6.1
6117666160,4/22/2016,1,480,8,546,9.1
6962181067,4/22/2016,1,425,7.1,435,7.3
7086361926,4/22/2016,1,428,7.1,448,7.5
8378563200,4/22/2016,1,441,7.4,469,7.8
8792009665,4/22/2016,1,391,6.5,407,6.8
1503960366,4/21/2016,1,325,5.4,364,6.1
2026352035,4/21/2016,1,477,8,514,8.6
2347167796,4/21/2016,1,460,7.7,484,8.1
3977333714,4/21/2016,1,332,5.5,512,8.5
4319703577,4/21/2016,1,59,1,65,1.1
4388161847,4/21/2016,1,442,7.4,458,7.6
4445114986,4/21/2016,1,436,7.3,469,7.8
4558609924,4/21/2016,1,126,2.1,137,2.3
4702921684,4/21/2016,1,425,7.1,434,7.2
5553957443,4/21/2016,1,399,6.7,431,7.2
5577150313,4/21/2016,1,414,6.9,437,7.3
6117666160,4/21/2016,1,508,8.5,550,9.2
6962181067,4/21/2016,1,451,7.5,457,7.6
7086361926,4/21/2016,1,390,6.5,411,6.9
8378563200,4/21/2016,1,396,6.6,417,7
1503960366,4/20/2016,1,360,6,377,6.3
2026352035,4/20/2016,1,461,7.7,510,8.5
3977333714,4/20/2016,2,152,2.5,305,5.1
4319703577,4/20/2016,1,523,8.7,543,9.1
4388161847,4/20/2016,1,421,7,451,7.5
4445114986,4/20/2016,1,439,7.3,462,7.7
4702921684,4/20/2016,1,454,7.6,468,7.8
5553957443,4/20/2016,1,658,11,678,11.3
5577150313,4/20/2016,1,447,7.5,480,8
6117666160,4/20/2016,1,474,7.9,502,8.4
6962181067,4/20/2016,1,418,7,424,7.1
7086361926,4/20/2016,1,492,8.2,502,8.4
8053475328,4/20/2016,1,486,8.1,493,8.2
8378563200,4/20/2016,1,381,6.4,409,6.8
8792009665,4/20/2016,1,528,8.8,547,9.1
1503960366,4/19/2016,1,304,5.1,320,5.3
2026352035,4/19/2016,1,498,8.3,540,9
2347167796,4/19/2016,1,465,7.8,514,8.6
3977333714,4/19/2016,1,219,3.7,395,6.6
4319703577,4/19/2016,2,461,7.7,498,8.3
4388161847,4/19/2016,1,329,5.5,338,5.6
4445114986,4/19/2016,2,388,6.5,424,7.1
4702921684,4/19/2016,1,457,7.6,487,8.1
5553957443,4/19/2016,1,357,6,410,6.8
5577150313,4/19/2016,1,449,7.5,465,7.8
6117666160,4/19/2016,1,465,7.8,492,8.2
6962181067,4/19/2016,1,476,7.9,535,8.9
7086361926,4/19/2016,1,472,7.9,483,8.1
8378563200,4/19/2016,1,387,6.5,421,7
2347167796,4/18/2016,1,500,8.3,557,9.3
3977333714,4/18/2016,2,412,6.9,522,8.7
4319703577,4/18/2016,1,515,8.6,551,9.2
4388161847,4/18/2016,1,99,1.7,104,1.7
4702921684,4/18/2016,1,293,4.9,312,5.2
5553957443,4/18/2016,2,520,8.7,541,9
5577150313,4/18/2016,1,527,8.8,553,9.2
6117666160,4/18/2016,2,493,8.2,510,8.5
6962181067,4/18/2016,1,442,7.4,458,7.6
8378563200,4/18/2016,1,398,6.6,451,7.5
1503960366,4/17/2016,1,700,11.7,712,11.9
2026352035,4/17/2016,1,437,7.3,498,8.3
2347167796,4/17/2016,1,556,9.3,602,10
3977333714,4/17/2016,1,381,6.4,566,9.4
4388161847,4/17/2016,2,619,10.3,641,10.7
4445114986,4/17/2016,1,98,1.6,107,1.8
4702921684,4/17/2016,1,591,9.9,612,10.2
5553957443,4/17/2016,1,350,5.8,402,6.7
5577150313,4/17/2016,1,549,9.2,583,9.7
6117666160,4/17/2016,2,336,5.6,350,5.8
6962181067,4/17/2016,1,427,7.1,446,7.4
8378563200,4/17/2016,2,525,8.8,591,9.9
1503960366,4/16/2016,2,340,5.7,367,6.1
2026352035,4/16/2016,1,524,8.7,567,9.5
3977333714,4/16/2016,1,283,4.7,510,8.5
4020332650,4/16/2016,1,77,1.3,77,1.3
4319703577,4/16/2016,1,506,8.4,522,8.7
4388161847,4/16/2016,2,426,7.1,448,7.5
4445114986,4/16/2016,1,462,7.7,499,8.3
4702921684,4/16/2016,2,382,6.4,406,6.8
5553957443,4/16/2016,2,651,10.9,686,11.4
5577150313,4/16/2016,1,406,6.8,445,7.4
6117666160,4/16/2016,1,380,6.3,398,6.6
6962181067,4/16/2016,1,357,6,366,6.1
7007744171,4/16/2016,1,79,1.3,82,1.4
8378563200,4/16/2016,2,611,10.2,689,11.5
1503960366,4/15/2016,1,412,6.9,442,7.4
1844505072,4/15/2016,1,644,10.7,961,16
1927972279,4/15/2016,2,475,7.9,499,8.3
2026352035,4/15/2016,1,523,8.7,573,9.6
2347167796,4/15/2016,1,452,7.5,504,8.4
3977333714,4/15/2016,1,424,7.1,556,9.3
4319703577,4/15/2016,1,465,7.8,491,8.2
4388161847,4/15/2016,1,499,8.3,526,8.8
4445114986,4/15/2016,2,337,5.6,379,6.3
4702921684,4/15/2016,1,253,4.2,257,4.3
5553957443,4/15/2016,1,377,6.3,409,6.8
5577150313,4/15/2016,1,392,6.5,413,6.9
6775888955,4/15/2016,1,391,6.5,406,6.8
6962181067,4/15/2016,1,370,6.2,386,6.4
7086361926,4/15/2016,1,377,6.3,386,6.4
8378563200,4/15/2016,1,513,8.6,533,8.9
8792009665,4/15/2016,1,363,6.1,377,6.3
2026352035,4/14/2016,1,545,9.1,568,9.5
2347167796,4/14/2016,1,445,7.4,489,8.2
3977333714,4/14/2016,1,291,4.9,397,6.6
4319703577,4/14/2016,1,535,8.9,557,9.3
4445114986,4/14/2016,1,441,7.4,492,8.2
4702921684,4/14/2016,1,384,6.4,415,6.9
5553957443,4/14/2016,1,357,6,418,7
5577150313,4/14/2016,1,477,8,497,8.3
6775888955,4/14/2016,1,423,7.1,441,7.4
6962181067,4/14/2016,2,508,8.5,535,8.9
7086361926,4/14/2016,1,472,7.9,476,7.9
8378563200,4/14/2016,1,424,7.1,455,7.6
8792009665,4/14/2016,1,486,8.1,503,8.4
1503960366,4/13/2016,2,384,6.4,407,6.8
1927972279,4/13/2016,1,398,6.6,422,7
2026352035,4/13/2016,1,531,8.9,565,9.4
2347167796,4/13/2016,1,467,7.8,531,8.9
3977333714,4/13/2016,2,295,4.9,456,7.6
4445114986,4/13/2016,2,370,6.2,406,6.8
4702921684,4/13/2016,2,400,6.7,430,7.2
5553957443,4/13/2016,2,455,7.6,488,8.1
5577150313,4/13/2016,1,432,7.2,458,7.6
6775888955,4/13/2016,1,235,3.9,260,4.3
6962181067,4/13/2016,3,630,10.5,679,11.3
7086361926,4/13/2016,1,451,7.5,465,7.8
8378563200,4/13/2016,2,447,7.5,487,8.1
8792009665,4/13/2016,1,531,8.9,552,9.2
1503960366,4/12/2016,1,327,5.5,346,5.8
1927972279,4/12/2016,3,750,12.5,775,12.9
2026352035,4/12/2016,1,503,8.4,546,9.1
3977333714,4/12/2016,1,274,4.6,469,7.8
4020332650,4/12/2016,1,501,8.4,541,9
4445114986,4/12/2016,2,429,7.2,457,7.6
4702921684,4/12/2016,1,425,7.1,439,7.3
5553957443,4/12/2016,1,441,7.4,464,7.7
5577150313,4/12/2016,1,419,7,438,7.3
6962181067,4/12/2016,1,366,6.1,387,6.5
7086361926,4/12/2016,1,514,8.6,525,8.8
8378563200,4/12/2016,1,338,5.6,356,5.9
8792009665,4/12/2016,1,458,7.6,493,8.2
